"id","title","forename","surname","region","party","type","oath_date","died_retired_date","year_created","d_o_b","Hansard_name","ex_MP"
67,"Lord","Ivon","Brabazon","of Tara","XB","HP",,,1974,20/12/1946 00:00:00,"Brabazon of Tara, L.","N"
68,"Lord","William","Bradshaw",,"Dem","L",,,1999,09/06/1936 00:00:00,"Bradshaw, L.","N"
69,"Lord","Melvyn","Bragg",,"Lab","L",,,1998,06/10/1939 00:00:00,"Bragg, L.","N"
70,"Lord","Edwin","Bramall",,"XB","L",,,1987,18/12/1923 00:00:00,"Bramall, L.","N"
71,"Lord","Dan","Brennan",,"Lab","L",03/05/2000 00:00:00,,2000,19/03/1942 00:00:00,"Brennan, L.","N"
72,"Lord","Bill","Brett",,"Lab","L",,,1999,06/03/1942 00:00:00,"Brett, L.","N"
73,"Lord","Nigel","Bridge","of Harwich","XB","A",,,1980,26/02/1917 00:00:00,"Bridge of Harwich, L.","N"
74,"Viscount","Robin","Bridgeman",,"Con","HP",,,1982,05/12/1930 00:00:00,"Bridgeman, V.","N"
75,"Lord","Thomas","Bridges",,"XB","HP",,,1969,27/12/1927 00:00:00,"Bridges, L.","N"
76,"Lord","Asa","Briggs",,"XB","L",,,1976,07/05/1921 00:00:00,"Briggs, L.","N"
77,"Lord","John","Brightman",,"XB","A",,,1982,20/06/1911 00:00:00,"Brightman, L.","N"
78,"Baroness","Heather","Brigstocke",,"Con","L",,30/04/2004 00:00:00,1990,02/09/1929 00:00:00,"Brigstocke, B.","N"
79,"Bishop of","Barry Rogerson","Bristol",,"Bp","B",,30/11/2002 00:00:00,1990,25/07/1936 00:00:00,"Bristol, Bp.","N"
80,"Lord","Leon","Brittan","of Spennithorne","Con","L",29/02/2000 00:00:00,,2000,25/09/1939 00:00:00,"Brittan of Spennithorne, L.","Y"
81,"Lord","Clive","Brooke","of Alverthorpe","Lab","L",,,1997,21/06/1942 00:00:00,"Brooke of Alverthorpe, L.","N"
82,"Lord","Peter","Brooke","of Sutton Mandeville","Con","L",22/10/2001 00:00:00,,2001,03/03/1934 00:00:00,"Brooke of Sutton Mandeville, L.","Y"
83,"Viscount","Alan","Brookeborough",,"XB","HP",,,1987,30/06/1952 00:00:00,"Brookeborough, V.","N"
84,"Lord","Keith","Brookman",,"Lab","L",,,1998,03/01/1937 00:00:00,"Brookman, L.","N"
85,"Lord","Jack","Brooks","of Tremorfa","Lab","L",,,1979,12/04/1927 00:00:00,"Brooks of Tremorfa, L.","N"
86,"Lord","Michael","Brougham and Vaux",,"Con","HD",,,1967,02/08/1938 00:00:00,"Brougham and Vaux, L.","N"
87,"Lord","John","Browne","of Madingley","XB","L",18/07/2001 00:00:00,,2001,20/02/1948 00:00:00,"Browne of Madingley, L.","N"
88,"Lord","Nicholas","Browne-Wilkinson",,"XB","A",,,1991,30/03/1930 00:00:00,"Browne-Wilkinson, L.","N"
89,"Lord","Donald","Bruce"," of Donington","Lab","L",,18/04/2005 00:00:00,1974,03/10/1912 00:00:00,"Bruce of Donington, L.","Y"
90,"Lord","Alan","Bullock",,"XB","L",,02/02/2004 00:00:00,1976,13/12/1914 00:00:00,"Bullock, L.","N"
91,"Lord","Tom","Burlison",,"Lab","L",,,1997,23/05/1936 00:00:00,"Burlison, L.","N"
92,"Lord","Hugh","Burnham",,"Con","HP",,01/01/2005 00:00:00,1993,15/08/1931 00:00:00,"Burnham, L.","N"
93,"Lord","Terence","Burns",,"XB","L",,,1998,13/03/1944 00:00:00,"Burns, L.","N"
94,"Baroness","Peta","Buscombe",,"Con","L",,,1998,12/03/1954 00:00:00,"Buscombe, B.","N"
95,"Lord","Robin","Butler","of Brockwell","XB","L",,,1998,03/01/1938 00:00:00,"Butler of Brockwell, L.","N"
96,"Lord","John","Butterworth",,"Con","L",,19/06/2003 00:00:00,1985,13/03/1918 00:00:00,"Butterworth, L.","N"
97,"Lord","Aubery","Buxton","of Alsa","Con","L",,,1978,15/05/1918 00:00:00,"Buxton of Alsa, L.","N"
98,"Baroness","Hazel","Byford",,"Con","L",,,1996,14/01/1941 00:00:00,"Byford, B.","N"
99,"Earl","Malcolm","Caithness",,"Con","HP",,,1965,03/11/1948 00:00:00,"Caithness, E.","N"
100,"Lord","James","Callaghan","of Cardiff","Lab","L",,26/03/2005 00:00:00,1987,27/03/1912 00:00:00,"Callaghan of Cardiff, L.","Y"
101,"Lord","Kenneth","Cameron","of Lochbroom","XB","L",,,1984,11/06/1931 00:00:00,"Cameron of Lochbroom, L.","N"
102,"Lord","Alan","Campbell","of Alloway","Con","L",,,1981,24/05/1917 00:00:00,"Campbell of Alloway, L.","N"
103,"Lord","Gordon","Campbell","of Croy","Con","L",,26/04/2005 00:00:00,1974,08/06/1921 00:00:00,"Campbell of Croy, L.","Y"
104,"Lord","Dale","Campbell-Savours",,"Lab","L",19/07/2001 00:00:00,,2001,23/08/1943 00:00:00,"Campbell-Savours, L.","Y"
105,"Archbishop of","Rowan Williams","Canterbury",,"Bp","B",12/03/2003 00:00:00,,2003,14/06/1950 00:00:00,"Canterbury, Abp.","N"
106,"Lord","George","Carey","of Clifton","XB","L",19/11/2002 00:00:00,,2002,13/11/1935 00:00:00,"Carey of Clifton, L.","N"
107,"Lord","Alexander","Carlile","of Berriew","Dem","L",,,1999,12/02/1948 00:00:00,"Carlile of Berriew, L.","Y"
108,"Lord","Mark","Carlisle","of Bucklow","Con","L",,14/07/2005 00:00:00,1987,07/07/1929 00:00:00,"Carlisle of Bucklow, L.","Y"
109,"Baroness","Elizabeth","Carnegy","of Lour","Con","L",,,1982,28/04/1925 00:00:00,"Carnegy of Lour, B.","N"
110,"Lord","Robert","Carr","of Hadley","Con","L",,,1976,11/11/1916 00:00:00,"Carr of Hadley, L.","Y"
111,"Lord","Peter","Carrington",,"Con","L",,,1999,06/06/1919 00:00:00,"Carrington, L.","N"
112,"Lord","Denis","Carter",,"Lab","L",,,1987,17/01/1932 00:00:00,"Carter, L.","N"
113,"Lord","Richard","Cavendish","of Furness","Con","L",,,1990,02/10/1941 00:00:00,"Cavendish of Furness, L.","N"
114,"Lord","Peter","Chadlington",,"Con","L",,,1996,24/08/1942 00:00:00,"Chadlington, L.","N"
115,"Lord","Alun","Chalfont",,"XB","L",,,1964,05/12/1919 00:00:00,"Chalfont, L.","N"
116,"Baroness","Lynda","Chalker","of Wallasey","Con","L",,,1992,29/04/1942 00:00:00,"Chalker of Wallasey, B.","Y"
117,"Lord","Michael","Chan",,"XB","L",02/07/2001 00:00:00,,2001,06/03/1940 00:00:00,"Chan, L.","N"
118,"Viscount","Tom","Chandos",,"Lab","L",02/05/2000 00:00:00,,2000,12/02/1953 00:00:00,"Chandos, V.","N"
119,"Lord","Francis","Chapple",,"XB","L",,19/10/2004 00:00:00,1985,,"Chapple, L.","N"
120,"Bishop of","John Freeman Perry","Chelmsford",,"Bp","B",05/07/2000 00:00:00,30/06/2003 00:00:00,2000,15/06/1935 00:00:00,"Chelmsford, Bp.","N"
121,"Bishop of","Peter Robert","Chester",,"Bp","B",14/11/2001 00:00:00,,2001,16/03/1950 00:00:00,"Chester, Bp.","N"
122,"Lord","Amos","Chilver",,"Con","L",,,1987,30/10/1926 00:00:00,"Chilver, L.","N"
123,"Lord","Pratap","Chitnis",,"XB","L",,,1977,01/05/1936 00:00:00,"Chitnis, L.","N"
124,"Marquess of","David","Cholmondeley",,"XB","HO",,,1990,27/06/1960 00:00:00,"Cholmondeley, M.","N"
125,"Lord","Roger","Chorley",,"XB","HP",31/10/2001 00:00:00,,1978,14/08/1930 00:00:00,"Chorley, L.","N"
126,"Lord","Tony","Christopher",,"Lab","L",,,1998,25/04/1925 00:00:00,"Christopher, L.","N"
127,"Lord","William","Clark","of Kempston","Con","L",,06/10/2004 00:00:00,1992,18/10/1917 00:00:00,"Clark of Kempston, L.","Y"
128,"Lord","David","Clark","of Windermere","Lab","L",02/07/2001 00:00:00,,2001,19/10/1939 00:00:00,"Clark of Windermere, L.","Y"
129,"Lord","Tony","Clarke","of Hampstead","Lab","L",,,1998,14/08/1930 00:00:00,"Clarke of Hampstead, L.","N"
130,"Lord","Timothy","Clement-Jones",,"Dem","L",,,1998,26/10/1949 00:00:00,"Clement-Jones, L.","N"
131,"Lord","Stanley","Clinton-Davis",,"Lab","L",,,1990,06/12/1928 00:00:00,"Clinton-Davis, L.","Y"
132,"Lord","James","Clyde",,"XB","A",,,1996,29/01/1932 00:00:00,"Clyde, L.","N"
133,"Lord","David","Cobbold",,"XB","HP",,,1987,14/07/1937 00:00:00,"Cobbold, L.","N"
134,"Lord","Francis","Cockfield",,"Con","L",,,1978,28/09/1916 00:00:00,"Cockfield, L.","N"
135,"Lord","Sebastian","Coe",,"Con","L",05/06/2000 00:00:00,,2000,29/09/1956 00:00:00,"Coe, L.","Y"
136,"Baroness","Janet","Cohen","of Pimlico","Lab","L",03/05/2000 00:00:00,,2000,04/07/1940 00:00:00,"Cohen of Pimlico, B.","N"
137,"Viscount","John","Colville","of Culross","XB","HP",,,1945,19/07/1933 00:00:00,"Colville of Culross, V.","N"
138,"Lord","Anthony","Colwyn",,"Con","HD",,,1966,01/01/1942 00:00:00,"Colwyn, L.","N"
139,"Lord","Paul","Condon",,"XB","L",17/07/2001 00:00:00,,2001,10/03/1947 00:00:00,"Condon, L.","N"
140,"Lord","Theodore","Constantine","of Stanmore","Con","L",,13/02/2004 00:00:00,1981,15/03/1910 00:00:00,"Constantine of Stanmore, L.","N"
141,"Lord","Victor","Cooke","of Islandreagh","XB","L",,,1992,18/10/1920 00:00:00,"Cooke of Islandreagh, L.","N"
142,"Lord","Robin","Cooke","of Thorndon","XB","L",,,1996,09/05/1926 00:00:00,"Cooke of Thorndon, L.","N"
143,"Lord","John","Cope","of Berkeley","Con","L",,,1997,13/05/1937 00:00:00,"Cope of Berkeley, L.","Y"
144,"Lord","Robin","Corbett","of Castle Vale","Lab","L",17/07/2001 00:00:00,,2001,22/12/1933 00:00:00,"Corbett of Castle Vale, L.","Y"
145,"Earl","James","Courtown",,"Con","HP",,,1975,19/03/1954 00:00:00,"Courtown, E.","N"
146,"Bishop of","Colin James Bennetts","Coventry",,"Bp","B",09/07/2003 00:00:00,,2003,09/09/1941 00:00:00,"Coventry, Bp.","N"
147,"Baroness","Caroline","Cox",,"Con","L",,,1983,06/07/1937 00:00:00,"Cox, B.","N"
148,"Lord","David","Craig","of Radley","XB","L",,,1991,17/09/1929 00:00:00,"Craig of Radley, L.","N"
149,"Viscount","Janric","Craigavon",,"XB","HP",,,1974,09/06/1944 00:00:00,"Craigavon, V.","N"
150,"Lord","Charles","Crathorne",,"Con","HP",,,1977,12/09/1939 00:00:00,"Crathorne, L.","N"
151,"Earl","Robert","Crawford and Balcarres",,"Con","L",,,1974,05/03/1927 00:00:00,"Crawford and Balcarres, E.","Y"
152,"Baroness","Christine","Crawley",,"Lab","L",,,1998,01/01/1950 00:00:00,"Crawley, B.","N"
153,"Lord","Roger","Crickhowell",,"Con","L",,,1987,25/02/1934 00:00:00,"Crickhowell, L.","Y"
154,"Lord","Douglas","Croham",,"XB","L",,,1978,15/12/1917 00:00:00,"Croham, L.","N"
155,"Lord","John","Cuckney",,"Con","L",,,1995,12/07/1925 00:00:00,"Cuckney, L.","N"
156,"Lord","Douglas","Cullen","of Whitekirk","XB","L",24/06/2003 00:00:00,,2003,18/11/1935 00:00:00,"Cullen of Whitekirk, L.","N"
157,"Baroness","Julia","Cumberlege",,"Con","L",,,1990,27/01/1943 00:00:00,"Cumberlege, B.","N"
158,"Lord","David","Currie","of Marylebone","XB","L",,,1996,09/12/1946 00:00:00,"Currie of Marylebone, L.","N"
159,"Lord","Hugh","Dacre","of Glanton","Con","L",,26/01/2003 00:00:00,1979,15/01/1914 00:00:00,"Dacre of Glanton, L.","N"
160,"Lord","Ralf","Dahrendorf",,"Dem","L",,,1993,01/05/1929 00:00:00,"Dahrendorf, L.","N"
161,"Baroness","Davina","Darcy","de Knayth","XB","HP",,,1943,10/07/1938 00:00:00,"Darcy de Knayth, B.","N"
162,"Baroness","Nora","David",,"Lab","L",,,1978,23/09/1913 00:00:00,"David, B.","N"
163,"Lord","Garfield","Davies","of Coity","Lab","L",,,1997,24/06/1935 00:00:00,"Davies of Coity, L.","N"
164,"Lord","Bryan","Davies","of Oldham","Lab","L",,,1997,09/10/1939 00:00:00,"Davies of Oldham, L.","Y"
165,"Lord","Paul","Dean","of Harptree","Con","L",,,1993,14/09/1924 00:00:00,"Dean of Harptree, L.","Y"
166,"Baroness","Brenda","Dean","of Thornton-le-Fylde","Lab","L",,,1993,29/04/1943 00:00:00,"Dean of Thornton-le-Fylde, B.","N"
167,"Lord","Ronald","Dearing",,"Other","L",,,1998,27/07/1930 00:00:00,"Dearing, L.","N"
168,"Lord","William","Deedes",,"Con","L",,,1986,01/06/1913 00:00:00,"Deedes, L.","Y"
169,"Baroness","Margaret","Delacourt-Smith","of Alteryn","Other","L",,,1974,05/04/1916 00:00:00,"Delacourt-Smith of Alteryn, B.","N"
170,"Lord","Bertram","Denham",,"Con","HP",,,1948,03/10/1927 00:00:00,"Denham, L.","N"
171,"Bishop of","Jonathan Bailey","Derby",,"Bp","B",30/11/1999 00:00:00,31/05/2005 00:00:00,1999,23/02/1940 00:00:00,"Derby, Bp.","N"
172,"Lord","Meghnad","Desai",,"Lab","L",,,1991,10/07/1940 00:00:00,"Desai, L.","N"
173,"Lord","Navnit","Dholakia",,"Dem","L",,,1997,04/03/1937 00:00:00,"Dholakia, L.","N"
174,"Lord","John","Diamond",,"Other","L",,03/04/2004 00:00:00,1970,30/04/1907 00:00:00,"Diamond, L.","Y"
175,"Lord","Don","Dixon",,"Lab","L",,,1997,06/03/1929 00:00:00,"Dixon, L.","Y"
176,"Lord","Robert","Dixon-Smith",,"Con","L",,,1993,30/09/1934 00:00:00,"Dixon-Smith, L.","N"
177,"Lord","John","Donaldson","of Lymington","XB","L",,31/08/2005 00:00:00,1988,06/10/1920 00:00:00,"Donaldson of Lymington, L.","N"
178,"Lord","Bernard","Donoughue",,"Lab","L",,,1985,08/09/1934 00:00:00,"Donoughue, L.","N"
179,"Lord","Jack","Dormand","of Easington","Lab","L",,18/12/2003 00:00:00,1987,27/08/1919 00:00:00,"Dormand of Easington, L.","Y"
180,"Lord","Alf","Dubs",,"Lab","L",,,1994,05/12/1932 00:00:00,"Dubs, L.","Y"
181,"Earl","Alexander","Dundee",,"Con","HP",,,1983,05/06/1949 00:00:00,"Dundee, E.","N"
182,"Baroness","Lydia","Dunn",,"XB","L",,,1990,29/02/1940 00:00:00,"Dunn, B.","N"
183,"Bishop of","Michael Turnbull","Durham",,"Bp","B",,30/04/2003 00:00:00,1994,27/12/1935 00:00:00,"Durham, Bp.","N"
184,"Bishop of","Tom Wright","Durham",,"Bp","B",05/11/2003 00:00:00,,2003,01/12/1948 00:00:00,"Durham, Bp.","N"
185,"Lord","Robert","Eames",,"XB","L",,,1995,27/04/1937 00:00:00,"Eames, L.","N"
186,"Lord","John","Eatwell",,"Lab","L",,,1992,02/02/1945 00:00:00,"Eatwell, L.","N"
187,"Baroness","Diana","Eccles","of Moulton","Con","L",,,1990,04/10/1933 00:00:00,"Eccles of Moulton, B.","N"
188,"Lord","John","Eden","of Winton","Con","L",,,1983,15/09/1925 00:00:00,"Eden of Winton, L.","Y"
189,"Lord","Murray","Elder",,"Lab","L",,,1999,09/05/1950 00:00:00,"Elder, L.","N"
190,"Lord","Dafydd","Elis-Thomas",,"XB","L",,,1992,18/10/1946 00:00:00,"Elis-Thomas, L.","Y"
191,"Baroness","Diana","Elles",,"Con","L",,,1972,19/07/1921 00:00:00,"Elles, B.","N"
192,"Lord","Robert","Elliott","of Morpeth","Con","L",,,1985,11/12/1920 00:00:00,"Elliott of Morpeth, L.","Y"
193,"Lord","Rodney","Elton",,"Con","HD",,,1973,02/03/1930 00:00:00,"Elton, L.","N"
194,"Lord","Dafydd","Elystan-Morgan",,"XB","L",,,1981,07/12/1932 00:00:00,"Elystan-Morgan, L.","Y"
195,"Baroness","Audrey","Emerton",,"XB","L",,,1997,10/09/1935 00:00:00,"Emerton, B.","N"
196,"Lord","George","Emslie",,"XB","L",,20/11/2002 00:00:00,1980,06/12/1919 00:00:00,"Emslie, L.","N"
197,"Earl","Merlin","Erroll",,"XB","HP",,,1978,20/04/1948 00:00:00,"Erroll, E.","N"
198,"Lord","John","Evans","of Parkside","Lab","L",,,1997,19/10/1930 00:00:00,"Evans of Parkside, L.","Y"
199,"Lord","Matthew","Evans","of Temple Guiting","Lab","L",17/05/2000 00:00:00,,2000,07/08/1941 00:00:00,"Evans of Temple Guiting, L.","N"
200,"Lord","David","Evans","of Watford","Lab","L",,,1998,30/11/1942 00:00:00,"Evans of Watford, L.","N"
201,"Lord","Harry","Ewing","of Kirkford","Lab","L",,,1992,20/01/1931 00:00:00,"Ewing of Kirkford, L.","Y"
202,"Lord","Derek","Ezra",,"Dem","L",,,1983,23/02/1919 00:00:00,"Ezra, L.","N"
203,"Lord","Charlie","Falconer","of Thoroton","Lab","L",,,1997,19/11/1951 00:00:00,"Falconer of Thoroton, L.","N"
204,"Baroness","Marcia","Falkender",,"Lab","L",,,1974,10/03/1932 00:00:00,"Falkender, B.","N"
205,"Viscount","Lucius","Falkland",,"Dem","HD",,,1984,15/08/1935 00:00:00,"Falkland, V.","N"
206,"Baroness","Josie","Farrington","of Ribbleton","Lab","L",,,1994,29/06/1940 00:00:00,"Farrington of Ribbleton, B.","N"
207,"Lord","Richard","Faulkner","of Worcester","Lab","L",,,1999,22/03/1946 00:00:00,"Faulkner of Worcester, L.","N"
208,"Lord","Ronnie","Fearn",,"Dem","L",15/10/2001 00:00:00,,2001,06/02/1931 00:00:00,"Fearn, L.","Y"
209,"Lord","Basil","Feldman",,"Con","L",,,1996,23/09/1926 00:00:00,"Feldman, L.","N"
210,"Lord","Robert","Fellowes",,"XB","L",,,1999,11/12/1941 00:00:00,"Fellowes, L.","N"
211,"Earl","Robert","Ferrers",,"Con","HP",,,1954,08/06/1929 00:00:00,"Ferrers, E.","N"
212,"Lord","Geoffrey","Filkin",,"Lab","L",,,1999,01/07/1944 00:00:00,"Filkin, L.","N"
213,"Baroness","Ilora","Finlay","of Llandaff","XB","L",10/07/2001 00:00:00,,2001,23/02/1949 00:00:00,"Finlay of Llandaff, B.","N"
214,"Baroness","Mary","Fisher","of Rednal","Lab","L",,,1974,13/09/1919 00:00:00,"Fisher of Rednal, B.","Y"
215,"Lord","Gerard","Fitt",,"Other","L",,26/08/2005 00:00:00,1983,09/04/1926 00:00:00,"Fitt, L.","Y"
216,"Baroness","Shreela","Flather",,"Con","L",,,1990,13/02/1934 00:00:00,"Flather, B.","N"
217,"Lord","Brian","Flowers",,"XB","L",,,1979,13/09/1924 00:00:00,"Flowers, L.","N"
218,"Baroness","Janet","Fookes",,"Con","L",,,1997,21/02/1936 00:00:00,"Fookes, B.","Y"
219,"Lord","Michael","Forsyth","of Drumlean","Con","L",,,1999,16/10/1954 00:00:00,"Forsyth of Drumlean, L.","Y"
220,"Lord","Charles","Forte",,"Other","L",,,1982,26/11/1908 00:00:00,"Forte, L.","N"
221,"Lord","Norman","Foster","of Thames Bank","XB","L",,,1999,01/06/1935 00:00:00,"Foster of Thames Bank, L.","N"
222,"Lord","Norman","Fowler",,"Con","L",04/07/2001 00:00:00,,2001,02/02/1938 00:00:00,"Fowler, L.","Y"
223,"Lord","Peter","Fraser","of Carmyllie","Con","L",,,1989,29/05/1945 00:00:00,"Fraser of Carmyllie, L.","Y"
224,"Lord","Roger","Freeman",,"Con","L",,,1997,27/05/1942 00:00:00,"Freeman, L.","Y"
